source_record_id,substation_name,source_file,period_start,period_end,observation_count_valid,invalid_or_missing_rows,negative_rows,reported_units,reported_mean_mw,reported_p95_mw,reported_p99_mw,reported_peak_mw,reported_mean_mva,reported_p95_mva,reported_p99_mva,reported_peak_mva,possible_scale_or_meter_anomaly,interpretation_note
ergon 20252026/Cloncurry_EECL_20252026.csv,Cloncurry,ergon 20252026/Cloncurry_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,0,MW/MVA,1349.796461,2368.0,2840.0,3382.0,1368.020912,2389.4805,2866.3549,3411.81,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Collinsville_EECL_20252026.csv,Collinsville,ergon 20252026/Collinsville_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,6593,MW/MVA,-2411.730813,8617.192,9172.9922,10235.3,10823.852913,29748.132,34611.9884,40028.36,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Comet_EECL_20252026.csv,Comet,ergon 20252026/Comet_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,0,MW/MVA,917.745287,1690.037,2140.6096,2605.24,948.411784,1781.6945,2279.6582,2768.1,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Cooktown_EECL_20252026.csv,Cooktown,ergon 20252026/Cooktown_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,114,MW/MVA,2521.263547,3759.0855,4281.8106,5197.41,2565.427966,3790.1865,4332.088,7949.38,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Coominglah_EECL_20252026.csv,Coominglah,ergon 20252026/Coominglah_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,0,MW/MVA,352.411797,433.48,485.6644,2581.94,370.959751,456.2905,511.2225,2717.83,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Craiglie_EECL_20252026.csv,Craiglie,ergon 20252026/Craiglie_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,0,MW/MVA,9242.015304,13140.0585,15277.1044,20877.58,9282.874445,13146.058,15291.0081,20893.12,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Cranbrook_EECL_20252026.csv,Cranbrook,ergon 20252026/Cranbrook_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,6,MW/MVA,7401.200171,12411.305,14409.6454,17324.02,7455.778743,12430.3525,14421.4563,17379.84,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Crediton_EECL_20252026.csv,Crediton,ergon 20252026/Crediton_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,493,MW/MVA,75.003902,162.893,223.3498,965.19,78.650328,166.5235,227.4262,965.19,false,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Crows Nest_EECL_20252026.csv,Crows Nest,ergon 20252026/Crows Nest_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,2787,MW/MVA,1557.945776,3518.0,4217.62,5036.0,1843.598626,3526.4545,4220.6994,5037.29,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Croydon_EECL_20252026.csv,Croydon,ergon 20252026/Croydon_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,0,MW/MVA,343.254343,528.5205,623.3391,702.8,383.780822,546.71,637.2868,715.22,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Cunnamulla_EECL_20252026.csv,Cunnamulla,ergon 20252026/Cunnamulla_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,732,MW/MVA,1718.649729,3282.733,4179.394,5491.88,2070.893563,3447.9215,4418.6688,5686.63,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Dalby Central_EECL_20252026.csv,Dalby Central,ergon 20252026/Dalby Central_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,987,MW/MVA,4820.300644,9517.873,11868.8808,15853.58,5082.502772,9552.772,11956.6862,15981.71,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
ergon 20252026/Dan Gleeson_EECL_20252026.csv,Dan Gleeson,ergon 20252026/Dan Gleeson_EECL_20252026.csv,2025-07-01,2026-06-30,17520,0,1669,MW/MVA,8418.694417,18187.981,21400.2542,25526.86,9208.2974,18188.6435,21401.7596,25541.62,true,Raw Ergon reported MW/MVA; no rescaling or spike correction applied.
