source_record_id,region,substation,kv,transformer_rating_tx1,transformer_rating_tx2,transformer_rating_tx3,transformer_max_nameplate_tx1_mva,transformer_max_nameplate_tx2_mva,transformer_max_nameplate_tx3_mva,summer_firm_normal_cyclic_rating_mva,summer_forecast_pf,summer_forecast_2025_26_mva,summer_forecast_2026_27_mva,summer_forecast_2027_28_mva,summer_forecast_2028_29_mva,summer_forecast_2029_30_mva,summer_embedded_generation_mw,summer_95pct_peak_exceeded_hours,winter_firm_normal_cyclic_rating_mva,winter_forecast_pf,winter_forecast_2026_mva,winter_forecast_2027_mva,winter_forecast_2028_mva,winter_forecast_2029_mva,winter_forecast_2030_mva,winter_embedded_generation_mw,winter_95pct_peak_exceeded_hours,summer_2029_apparent_firm_margin_mva,winter_2030_apparent_firm_margin_mva
zone_substation|Goulburn|Goulburn 132/66kV|132/66,Goulburn,Goulburn 132/66kV,132/66,35/60,35/60,,60,60,,66,0.998,39.78,39.73,39.69,39.74,39.72,0,1.5,72,0.996,53,54.02,54.86,55.61,56.28,0,10.5,26.28,15.719999999999999
zone_substation|Goulburn|Goulburn North|66/11,Goulburn,Goulburn North,66/11,15,12.5/16,,15,16,,16.5,0.993,8.87,8.93,9,9.07,9.11,8.67,1.5,18,0.995,11.3,11.47,11.63,11.78,11.92,8.67,5,7.390000000000001,6.08
zone_substation|Goulburn|Marulan North|66/22,Goulburn,Marulan North,66/22,12.5/15,12.5/15,,15,15,,16.5,0.99,6.72,6.81,6.89,6.95,7.03,3.07,2,18,0.994,7.51,7.63,7.74,7.85,7.95,3.07,3,9.469999999999999,10.05
zone_substation|Goulburn|Marulan South|66/33,Goulburn,Marulan South,66/33,10/16,,,16,,,0,0.957,7.39,7.5,7.58,7.69,7.78,0,13,0,0.956,7.51,7.54,7.58,7.61,7.64,0,1,-7.78,-7.64
zone_substation|Goulburn|Woodlawn|66/11,Goulburn,Woodlawn,66/11,10/14,24/30,,14,30,,15.4,0.848,5.59,5.28,5.1,5.02,5.04,1.58,3.5,16.8,0.91,5.22,4.83,4.52,4.27,4.12,1.58,43.5,10.36,12.68
zone_substation|Grafton|Grafton North|66/11,Grafton,Grafton North,66/11,24/30,15/20/25,,30,25,,27.5,1,16.01,15.92,15.99,15.98,15.98,12.23,0.5,30,0.99,13.49,13.6,13.71,13.81,13.91,12.23,1.5,11.52,16.09
zone_substation|Grafton|Grafton South|66/11,Grafton,Grafton South,66/11,15/19/25,15/19/24.5,,25,24.5,,26.95,0.992,15.93,15.84,15.89,15.88,15.86,13.44,0.5,29.4,0.999,13.96,13.96,13.96,13.96,13.95,13.44,1,11.09,15.45
zone_substation|Grafton|Koolkhan 11kV|66/11,Grafton,Koolkhan 11kV,66/11,7.5/10,,,10,,,0,0.915,2.75,2.79,2.83,2.88,2.92,3.01,1,0,0.991,2.52,2.57,2.62,2.66,2.7,3.01,1,-2.92,-2.7
zone_substation|Grafton|Maclean 66/11kV|66/11,Grafton,Maclean 66/11kV,66/11,10/16,10/16,,16,16,,17.6,0.96,9.85,9.99,10.15,10.31,10.45,12.08,2,19.2,0.944,9.32,9.64,9.94,10.23,10.51,12.08,2,7.150000000000002,8.69
zone_substation|Grafton|Maclean 66/33kV|66/33,Grafton,Maclean 66/33kV,66/33,8/10,,,10,,,0,0.991,0.44,0.44,0.45,0.45,0.45,0,2,0,0.996,0.31,0.31,0.31,0.31,0.31,0,2,-0.45,-0.31
zone_substation|Grafton|Nymboida|66/11,Grafton,Nymboida,66/11,0.6,0.6,,0.6,0.6,,0.66,0.952,0.27,0.27,0.27,0.27,0.27,0.36,2,0.72,0.951,0.28,0.28,0.28,0.28,0.28,0.36,1,0.39,0.43999999999999995
zone_substation|Grafton|Redcliff|33/11,Grafton,Redcliff,33/11,0.5,0.5,,0.5,0.5,,0.55,0.991,0.44,0.44,0.45,0.45,0.46,0.27,2,0.6,0.996,0.31,0.31,0.31,0.31,0.31,0.27,2,0.09000000000000002,0.29
zone_substation|Grafton|Shannon Creek|66/11,Grafton,Shannon Creek,66/11,8,,,8,,,0,1,1.3,1.35,1.4,1.44,1.47,1.22,3,0,0.997,0.91,0.92,0.92,0.93,0.94,1.22,5,-1.47,-0.94
zone_substation|Grafton|Yamba|66/11,Grafton,Yamba,66/11,20/30,15/19/23,,30,23,,25.3,0.996,11.2,11.28,11.39,11.46,11.56,11.94,1,27.6,0.997,11.55,11.61,11.66,11.75,11.81,11.94,1,13.74,15.790000000000001
zone_substation|Griffith|Beelbangera|33/11,Griffith,Beelbangera,33/11,10/12.5,10/12.5,,12.5,12.5,,13.75,0.979,11.66,11.71,11.76,11.85,11.88,6.4,5.5,15,0.997,7.45,7.5,7.54,7.59,7.63,6.4,1,1.8699999999999992,7.37
zone_substation|Griffith|Griffith|33/11,Griffith,Griffith,33/11,40/50,40/50,,50,50,,55,0.999,26.84,26.83,26.84,26.86,26.83,10.41,0.5,60,0.995,21.1,21.26,21.41,21.53,21.64,10.41,2,28.17,38.36
zone_substation|Griffith|Hanwood|33/11,Griffith,Hanwood,33/11,15/17/25,15/17/25,,25,25,,27.5,0.995,14.55,14.65,14.71,14.79,14.87,1.94,11.5,30,0.999,12.25,12.33,12.41,12.49,12.56,1.94,15.5,12.63,17.439999999999998
zone_substation|Griffith|Nericon|33/11,Griffith,Nericon,33/11,5/8,,,8,,,0,0.983,1.87,1.9,1.92,1.94,1.96,0.54,6.5,0,0.989,1.1,1.08,1.05,1.03,1.02,0.54,2.5,-1.96,-1.02
zone_substation|Griffith|Tharbogang|33/11,Griffith,Tharbogang,33/11,15/20/25,15/20/25,,25,25,,27.5,0.997,14.41,14.42,14.49,14.52,14.56,6.53,1.5,30,1,9.94,10.03,10.11,10.19,10.25,6.53,7,12.94,19.75
zone_substation|Griffith|Warrawidgee|33/11,Griffith,Warrawidgee,33/11,2.5,3,,2.5,3,,2.75,0.929,1.25,1.24,1.24,1.24,1.23,0.23,12,3,0.889,1.16,1.2,1.22,1.25,1.27,0.23,1,1.52,1.73
zone_substation|Griffith|Widgelli|33/11,Griffith,Widgelli,33/11,1,,,1,,,0,0.915,0.65,0.66,0.68,0.7,0.71,0,3,0,0.912,0.37,0.38,0.38,0.38,0.38,0,2.5,-0.71,-0.38
zone_substation|Griffith|Willbriggie|33/11,Griffith,Willbriggie,33/11,5/8,,,8,,,0,0.968,2.65,2.66,2.68,2.69,2.7,0.33,2,0,0.982,1.54,1.52,1.52,1.5,1.49,0.33,15.5,-2.7,-1.49
zone_substation|Griffith|Yenda|33/11,Griffith,Yenda,33/11,7.5/9.5,7.5/9.5,,9.5,9.5,,10.45,1,6.38,6.42,6.44,6.48,6.5,1.79,2,11.4,0.993,5.27,5.35,5.45,5.53,5.61,1.79,7.5,3.9499999999999993,5.79
zone_substation|Gunnedah|Boggabri|66/11,Gunnedah,Boggabri,66/11,5/6.5,10,,6.5,10,,7.15,0.987,4.08,4.12,4.14,4.17,4.2,1.75,3,7.8,0.994,4.91,4.93,4.94,4.96,4.97,1.75,25.5,2.95,2.83
